Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
6.1,Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,"SELECT mk.judul, AVG(hu.nilai_diperoleh) AS rata_rata_nilai FROM MataKuliah AS mk JOIN Ujian AS u ON mk.id_mk = u.id_mk JOIN HasilUjian AS hu ON u.id_ujian = hu.id_ujian GROUP BY mk.judul ORDER BY rata_rata_nilai DESC LIMIT 1","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;",1.0
6.2,Matkul mana yang nilai ujiannya paling tinggi rata-ratanya? Kasih tau judul (judul) dan nilai rata-rata (rata_rata_nilai).,"SELECT mk.judul, AVG(hu.nilai_diperoleh) AS rata_rata_nilai
FROM HasilUjian hu
JOIN Ujian u ON hu.id_ujian = u.id_ujian
JOIN MataKuliah mk ON u.id_mk = mk.id_mk
GROUP BY mk.judul
ORDER BY rata_rata_nilai DESC
LIMIT 1;","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;",1.0
7.1,Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,"SELECT d.nama, COUNT(pp.id_publikasi) AS total_publikasi
FROM Dosen AS d
JOIN PenulisPublikasi AS pp ON d.id_dosen = pp.id_dosen
GROUP BY d.nama
ORDER BY total_publikasi DESC
LIMIT 1;","SELECT d.nama, COUNT(p.id_publikasi) AS total_publikasi
  FROM Dosen d
  JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  JOIN Publikasi p ON pp.id_publikasi = p.id_publikasi
  GROUP BY d.nama
  ORDER BY total_publikasi DESC
  LIMIT 1;",1.0
7.2,Dosen mana yang paling banyak nulis publikasi? Tunjukin namanya (nama) dan total publikasinya (total_publikasi).,"SELECT D.nama, COUNT(PP.id_publikasi) AS total_publikasi FROM Dosen AS D JOIN PenulisPublikasi AS PP ON D.id_dosen = PP.id_dosen GROUP BY D.nama ORDER BY total_publikasi DESC LIMIT 1","SELECT d.nama, COUNT(p.id_publikasi) AS total_publikasi
  FROM Dosen d
  JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  JOIN Publikasi p ON pp.id_publikasi = p.id_publikasi
  GROUP BY d.nama
  ORDER BY total_publikasi DESC
  LIMIT 1;",1.0
8.1,Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,"SELECT m.nama, COUNT(pp.id_proyek) AS total_partisipasi FROM Mahasiswa AS m JOIN PartisipasiPenelitian AS pp ON m.id_mahasiswa = pp.id_mahasiswa GROUP BY m.nama ORDER BY total_partisipasi DESC LIMIT 1","SELECT m.nama, COUNT(pp.id_proyek) AS total_partisipasi
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 1;",1.0
8.2,Mahasiswa mana yang paling sering ikut proyek penelitian? Tunjukin namanya (nama) dan jumlah partisipasinya (total_partisipasi).,"SELECT m.nama, COUNT(pp.id_partisipasi) AS total_partisipasi FROM Mahasiswa m JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa GROUP BY m.nama ORDER BY total_partisipasi DESC LIMIT 1","SELECT m.nama, COUNT(pp.id_proyek) AS total_partisipasi
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 1;",1.0
9.1,Who’s borrowed the most books among students? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).,"SELECT id_peminjam, COUNT(*) AS total_peminjaman FROM PeminjamanBuku WHERE id_peminjam IN (SELECT id_mahasiswa FROM Mahasiswa) GROUP BY id_peminjam ORDER BY total_peminjaman DESC LIMIT 1","SELECT id_peminjam, COUNT(*) AS total_peminjaman
  FROM PeminjamanBuku
  GROUP BY id_peminjam
  ORDER BY total_peminjaman DESC
  LIMIT 1;",0.0
9.2,Mahasiswa mana yang paling sering minjem buku? Aku mau ID-nya (id_peminjam) dan total pinjamannya (total_peminjaman).,"SELECT id_peminjam, COUNT(*) AS total_peminjaman FROM PeminjamanBuku WHERE id_peminjam IN (SELECT id_mahasiswa FROM Mahasiswa) GROUP BY id_peminjam ORDER BY total_peminjaman DESC LIMIT 1","SELECT id_peminjam, COUNT(*) AS total_peminjaman
  FROM PeminjamanBuku
  GROUP BY id_peminjam
  ORDER BY total_peminjaman DESC
  LIMIT 1;",0.0
10.1,Which club has the most members? Show the name (nama) and total members (total_anggota).,"SELECT ok.nama, COUNT(kk.id_mahasiswa) AS total_anggota
FROM OrganisasiKlub ok
JOIN KeanggotaanKlub kk ON ok.id_klub = kk.id_klub
GROUP BY ok.nama
ORDER BY total_anggota DESC
LIMIT 1;","SELECT k.nama, COUNT(kk.id_mahasiswa) AS total_anggota
  FROM OrganisasiKlub k
  JOIN KeanggotaanKlub kk ON k.id_klub = kk.id_klub
  GROUP BY k.nama
  ORDER BY total_anggota DESC
  LIMIT 1;",1.0
10.2,Klub mana yang anggotanya paling banyak? Kasih tau nama klubnya (nama) dan jumlah anggota (total_anggota).,"SELECT ok.nama, COUNT(k.id_mahasiswa) AS total_anggota FROM OrganisasiKlub ok LEFT JOIN KeanggotaanKlub k ON ok.id_klub = k.id_klub GROUP BY ok.nama ORDER BY total_anggota DESC LIMIT 1","SELECT k.nama, COUNT(kk.id_mahasiswa) AS total_anggota
  FROM OrganisasiKlub k
  JOIN KeanggotaanKlub kk ON k.id_klub = kk.id_klub
  GROUP BY k.nama
  ORDER BY total_anggota DESC
  LIMIT 1;",1.0
11.1,"Which student has the highest exam score total? I want to see id_mahasiswa, nama, and total_score.","SELECT m.id_mahasiswa, m.nama, total_nilai_ujian AS total_score FROM Mahasiswa AS m JOIN (SELECT id_mahasiswa, SUM(nilai_diperoleh) AS total_nilai_ujian FROM HasilUjian GROUP BY id_mahasiswa ORDER BY total_nilai_ujian DESC LIMIT 1) AS scores ON m.id_mahasiswa = scores.id_mahasiswa","SELECT h.id_mahasiswa, m.nama, SUM(h.nilai_diperoleh) AS total_score
  FROM HasilUjian h
  JOIN Mahasiswa m ON h.id_mahasiswa = m.id_mahasiswa
  GROUP BY h.id_mahasiswa, m.nama
  ORDER BY total_score DESC
  LIMIT 1;",1.0
11.2,"Mahasiswa mana yang total nilainya dari semua ujian paling tinggi? Aku mau id_mahasiswa, nama, dan total_score.","SELECT id_mahasiswa, nama, SUM(nilai_diperoleh) AS total_score FROM Mahasiswa JOIN HasilUjian ON Mahasiswa.id_mahasiswa = HasilUjian.id_mahasiswa GROUP BY id_mahasiswa, nama ORDER BY total_score DESC LIMIT 1","SELECT h.id_mahasiswa, m.nama, SUM(h.nilai_diperoleh) AS total_score
  FROM HasilUjian h
  JOIN Mahasiswa m ON h.id_mahasiswa = m.id_mahasiswa
  GROUP BY h.id_mahasiswa, m.nama
  ORDER BY total_score DESC
  LIMIT 1;",0.0
12.1,"Can you list all faculties and show how many research projects, publications, and active lecturers each has? Show nama, total_proyek, total_publikasi, total_dosen_aktif.","SELECT F.nama, COALESCE(PP.total_proyek, 0) AS total_proyek, COALESCE(PU.total_publikasi, 0) AS total_publikasi, COALESCE(D.total_dosen_aktif, 0) AS total_dosen_aktif FROM Fakultas F LEFT JOIN (SELECT id_fakultas, COUNT(*) AS total_proyek FROM ProyekPenelitian GROUP BY id_fakultas) PP ON F.id_fakultas = PP.id_fakultas LEFT JOIN (SELECT id_fakultas, COUNT(*) AS total_publikasi FROM Publikasi GROUP BY id_fakultas) PU ON F.id_fakultas = PU.id_fakultas LEFT JOIN (SELECT id_fakultas, COUNT(*) AS total_dosen_aktif FROM Dosen GROUP BY id_fakultas) D ON F.id_fakultas = D.id_fakultas","SELECT f.nama,
  COUNT(DISTINCT p.id_proyek) AS total_proyek,
  COUNT(DISTINCT pb.id_publikasi) AS total_publikasi,
  COUNT(DISTINCT d.id_dosen) AS total_dosen_aktif
  FROM Fakultas f
  LEFT JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  LEFT JOIN Publikasi pb ON f.id_fakultas = pb.id_fakultas
  LEFT JOIN Dosen d ON d.id_fakultas = f.id_fakultas
  WHERE d.id_dosen IN (
  SELECT id_dosen FROM PenulisPublikasi
  UNION
  SELECT id_dosen FROM ProyekPenelitian
  )
  GROUP BY f.nama;",1.0
12.2,"Tolong tampilin semua fakultas beserta total proyek, publikasi, dan dosen aktifnya. Kolom: nama, total_proyek, total_publikasi, total_dosen_aktif.","SELECT f.nama, COUNT(DISTINCT p.id_proyek) AS total_proyek, COUNT(DISTINCT pu.id_publikasi) AS total_publikasi, COUNT(DISTINCT d.id_dosen) AS total_dosen_aktif
FROM Fakultas f
LEFT JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
LEFT JOIN Publikasi pu ON f.id_fakultas = pu.id_fakultas
LEFT JOIN Dosen d ON f.id_fakultas = d.id_fakultas
GROUP BY f.nama;","SELECT f.nama,
  COUNT(DISTINCT p.id_proyek) AS total_proyek,
  COUNT(DISTINCT pb.id_publikasi) AS total_publikasi,
  COUNT(DISTINCT d.id_dosen) AS total_dosen_aktif
  FROM Fakultas f
  LEFT JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  LEFT JOIN Publikasi pb ON f.id_fakultas = pb.id_fakultas
  LEFT JOIN Dosen d ON d.id_fakultas = f.id_fakultas
  WHERE d.id_dosen IN (
  SELECT id_dosen FROM PenulisPublikasi
  UNION
  SELECT id_dosen FROM ProyekPenelitian
  )
  GROUP BY f.nama;",1.0
13.1,"Which lecturer has taught the most different subjects? Show me their id_dosen, nama, and how many subjects (total_mk_diajar).","SELECT d.id_dosen, d.nama, COUNT(DISTINCT mk.id_mk) AS total_mk_diajar FROM Dosen AS d JOIN MataKuliah AS mk ON d.id_dosen = mk.id_pengajar GROUP BY d.id_dosen, d.nama ORDER BY total_mk_diajar DESC LIMIT 1","SELECT d.id_dosen, d.nama, COUNT(DISTINCT mk.id_mk) AS total_mk_diajar
  FROM Dosen d
  JOIN Sesi s ON d.id_dosen = s.id_pengajar
  JOIN MataKuliah mk ON mk.id_mk = s.id_mk
  GROUP BY d.id_dosen, d.nama
  ORDER BY total_mk_diajar DESC
  LIMIT 1;",1.0
13.2,"Dosen mana yang pernah ngajar mata kuliah paling banyak? Kasih id_dosen, nama, dan jumlah matkul (total_mk_diajar).","SELECT d.id_dosen, d.nama, COUNT(mk.id_mk) AS total_mk_diajar FROM Dosen AS d JOIN MataKuliah AS mk ON d.id_dosen = mk.id_pengajar GROUP BY d.id_dosen, d.nama ORDER BY total_mk_diajar DESC LIMIT 1","SELECT d.id_dosen, d.nama, COUNT(DISTINCT mk.id_mk) AS total_mk_diajar
  FROM Dosen d
  JOIN Sesi s ON d.id_dosen = s.id_pengajar
  JOIN MataKuliah mk ON mk.id_mk = s.id_mk
  GROUP BY d.id_dosen, d.nama
  ORDER BY total_mk_diajar DESC
  LIMIT 1;",1.0
14.1,"Who are the top 3 students with the best total participation scores? I want id_mahasiswa, nama, and total_partisipasi.","SELECT m.id_mahasiswa, m.nama, COALESCE(SUM(ek.nilai_partisipasi), 0) + COALESCE(SUM(pp.jam_kontribusi), 0) AS total_partisipasi FROM Mahasiswa AS m LEFT JOIN EnrolmenKelas AS ek ON m.id_mahasiswa = ek.id_mahasiswa LEFT JOIN PartisipasiPenelitian AS pp ON m.id_mahasiswa = pp.id_mahasiswa GROUP BY m.id_mahasiswa, m.nama ORDER BY total_partisipasi DESC LIMIT 3","SELECT m.id_mahasiswa, m.nama, SUM(e.nilai_partisipasi) AS total_partisipasi
  FROM EnrolmenKelas e
  JOIN Mahasiswa m ON m.id_mahasiswa = e.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 3;",0.0
14.2,"Tolong tunjukin 3 mahasiswa dengan nilai partisipasi tertinggi. Kolom: id_mahasiswa, nama, total_partisipasi.","SELECT m.id_mahasiswa, m.nama, SUM(ek.nilai_partisipasi) AS total_partisipasi FROM Mahasiswa m JOIN EnrolmenKelas ek ON m.id_mahasiswa = ek.id_mahasiswa GROUP BY m.id_mahasiswa, m.nama ORDER BY total_partisipasi DESC LIMIT 3","SELECT m.id_mahasiswa, m.nama, SUM(e.nilai_partisipasi) AS total_partisipasi
  FROM EnrolmenKelas e
  JOIN Mahasiswa m ON m.id_mahasiswa = e.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 3;",1.0
15.1,"Which students joined more than 2 projects and are in a club? Show id_mahasiswa, nama, total_proyek, and total_klub.","SELECT m.id_mahasiswa, m.nama, pp.total_proyek, kk.total_klub
FROM Mahasiswa AS m
JOIN (SELECT id_mahasiswa, COUNT(*) AS total_proyek FROM PartisipasiPenelitian GROUP BY id_mahasiswa HAVING COUNT(*) > 2) AS pp ON m.id_mahasiswa = pp.id_mahasiswa
JOIN (SELECT id_mahasiswa, COUNT(*) AS total_klub FROM KeanggotaanKlub GROUP BY id_mahasiswa) AS kk ON m.id_mahasiswa = kk.id_mahasiswa;","SELECT m.id_mahasiswa, m.nama,
  COUNT(DISTINCT pp.id_proyek) AS total_proyek,
  COUNT(DISTINCT kk.id_klub) AS total_klub
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  JOIN KeanggotaanKlub kk ON m.id_mahasiswa = kk.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  HAVING COUNT(DISTINCT pp.id_proyek) > 2;",1.0
15.2,"Siapa aja mahasiswa yang ikut lebih dari 2 proyek dan juga aktif di klub? Tampilkan id_mahasiswa, nama, total_proyek, total_klub.","SELECT m.id_mahasiswa, m.nama, COUNT(DISTINCT pp.id_proyek) AS total_proyek, COUNT(DISTINCT kk.id_klub) AS total_klub
FROM Mahasiswa AS m
JOIN PartisipasiPenelitian AS pp ON m.id_mahasiswa = pp.id_mahasiswa
JOIN KeanggotaanKlub AS kk ON m.id_mahasiswa = kk.id_mahasiswa
GROUP BY m.id_mahasiswa, m.nama
HAVING COUNT(DISTINCT pp.id_proyek) > 2;","SELECT m.id_mahasiswa, m.nama,
  COUNT(DISTINCT pp.id_proyek) AS total_proyek,
  COUNT(DISTINCT kk.id_klub) AS total_klub
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  JOIN KeanggotaanKlub kk ON m.id_mahasiswa = kk.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  HAVING COUNT(DISTINCT pp.id_proyek) > 2;",1.0
16.1,"What are the top 5 facilities with the highest average access? Show id_fasilitas, nama, and avg_akses.","SELECT FF.id_fasilitas, F.nama, AVG(FF.tingkat_akses) AS avg_akses FROM FasilitasFakultas AS FF JOIN Fasilitas AS F ON FF.id_fasilitas = F.id_fasilitas GROUP BY FF.id_fasilitas, F.nama ORDER BY avg_akses DESC LIMIT 5","SELECT f.id_fasilitas, f.nama, AVG(ff.tingkat_akses) AS avg_akses
  FROM Fasilitas f
  JOIN FasilitasFakultas ff ON f.id_fasilitas = ff.id_fasilitas
  GROUP BY f.id_fasilitas, f.nama
  ORDER BY avg_akses DESC
  LIMIT 5;",0.6
16.2,"Fasilitas apa aja yang rata-rata tingkat aksesnya paling tinggi? Aku mau id_fasilitas, nama, avg_akses.","SELECT F.id_fasilitas, F.nama, AVG(FF.tingkat_akses) AS avg_akses FROM Fasilitas AS F JOIN FasilitasFakultas AS FF ON F.id_fasilitas = FF.id_fasilitas GROUP BY F.id_fasilitas, F.nama ORDER BY avg_akses DESC LIMIT 1","SELECT f.id_fasilitas, f.nama, AVG(ff.tingkat_akses) AS avg_akses
  FROM Fasilitas f
  JOIN FasilitasFakultas ff ON f.id_fasilitas = ff.id_fasilitas
  GROUP BY f.id_fasilitas, f.nama
  ORDER BY avg_akses DESC
  LIMIT 5;",0.0
17.1,"Find me lecturers who both supervise students and publish papers. Show id_dosen, nama, total_mahasiswa_bimbingan, total_publikasi.","SELECT d.id_dosen, d.nama, COUNT(DISTINCT m.id_mahasiswa) AS total_mahasiswa_bimbingan, COUNT(DISTINCT pp.id_publikasi) AS total_publikasi
FROM Dosen AS d
INNER JOIN Mahasiswa AS m ON d.id_dosen = m.id_pembimbing
INNER JOIN PenulisPublikasi AS pp ON d.id_dosen = pp.id_dosen
GROUP BY d.id_dosen, d.nama","SELECT d.id_dosen, d.nama,
  COUNT(DISTINCT m.id_mahasiswa) AS total_mahasiswa_bimbingan,
  COUNT(DISTINCT pp.id_publikasi) AS total_publikasi
  FROM Dosen d
  LEFT JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  LEFT JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  WHERE m.id_mahasiswa IS NOT NULL AND pp.id_publikasi IS NOT NULL
  GROUP BY d.id_dosen, d.nama;",1.0
17.2,"Dosen mana yang bimbing mahasiswa sekaligus bikin publikasi? Tampilkan id_dosen, nama, total_mahasiswa_bimbingan, total_publikasi.","SELECT D.id_dosen, D.nama, COALESCE(M.total_mahasiswa_bimbingan, 0) AS total_mahasiswa_bimbingan, COALESCE(P.total_publikasi, 0) AS total_publikasi FROM Dosen AS D LEFT JOIN (SELECT id_pembimbing, COUNT(*) AS total_mahasiswa_bimbingan FROM Mahasiswa GROUP BY id_pembimbing) AS M ON D.id_dosen = M.id_pembimbing LEFT JOIN (SELECT id_dosen, COUNT(*) AS total_publikasi FROM PenulisPublikasi GROUP BY id_dosen) AS P ON D.id_dosen = P.id_dosen","SELECT d.id_dosen, d.nama,
  COUNT(DISTINCT m.id_mahasiswa) AS total_mahasiswa_bimbingan,
  COUNT(DISTINCT pp.id_publikasi) AS total_publikasi
  FROM Dosen d
  LEFT JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  LEFT JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  WHERE m.id_mahasiswa IS NOT NULL AND pp.id_publikasi IS NOT NULL
  GROUP BY d.id_dosen, d.nama;",0.0
18.1,"Which students both borrow books and attend 10+ sessions? Show id_mahasiswa, nama, total_buku_dipinjam, total_sesi.","SELECT m.id_mahasiswa, m.nama, COUNT(DISTINCT pb.id_peminjaman) AS total_buku_dipinjam, COUNT(DISTINCT ck.id_sesi) AS total_sesi
FROM Mahasiswa AS m
JOIN PeminjamanBuku AS pb ON m.id_mahasiswa = pb.id_peminjam
JOIN CatatanKehadiran AS ck ON m.id_mahasiswa = ck.id_mahasiswa
GROUP BY m.id_mahasiswa, m.nama
HAVING COUNT(DISTINCT ck.id_sesi) >= 10;","SELECT m.id_mahasiswa, m.nama,
  COUNT(DISTINCT pb.id_peminjaman) AS total_buku_dipinjam,
  COUNT(DISTINCT ck.id_sesi) AS total_sesi
  FROM Mahasiswa m
  LEFT JOIN PeminjamanBuku pb ON m.id_mahasiswa = pb.id_peminjam
  LEFT JOIN CatatanKehadiran ck ON m.id_mahasiswa = ck.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  HAVING COUNT(DISTINCT ck.id_sesi) >= 10 AND COUNT(DISTINCT pb.id_peminjaman) > 0;",1.0
18.2,"Mahasiswa mana aja yang suka minjem buku dan hadir di lebih dari 10 sesi? Tampilkan id_mahasiswa, nama, total_buku_dipinjam, total_sesi.","SELECT m.id_mahasiswa, m.nama, COUNT(DISTINCT pb.id_peminjaman) AS total_buku_dipinjam, COUNT(DISTINCT ck.id_kehadiran) AS total_sesi
FROM Mahasiswa m
JOIN PeminjamanBuku pb ON m.id_mahasiswa = pb.id_peminjam
JOIN CatatanKehadiran ck ON m.id_mahasiswa = ck.id_mahasiswa
GROUP BY m.id_mahasiswa, m.nama
HAVING COUNT(DISTINCT ck.id_kehadiran) > 10;","SELECT m.id_mahasiswa, m.nama,
  COUNT(DISTINCT pb.id_peminjaman) AS total_buku_dipinjam,
  COUNT(DISTINCT ck.id_sesi) AS total_sesi
  FROM Mahasiswa m
  LEFT JOIN PeminjamanBuku pb ON m.id_mahasiswa = pb.id_peminjam
  LEFT JOIN CatatanKehadiran ck ON m.id_mahasiswa = ck.id_mahasiswa
  GROUP BY m.id_mahasiswa, m.nama
  HAVING COUNT(DISTINCT ck.id_sesi) >= 10 AND COUNT(DISTINCT pb.id_peminjaman) > 0;",1.0
